,country,gdp,population,gdp_per_capita
0,United States,25462700000000.0,341534046.0,74554.0
1,China,17963200000000.0,1425179569.0,12604.0
2,Japan,4231140000000.0,124997578.0,33850.0
3,Germany,4072190000000.0,84086227.0,48429.0
4,India,3385090000000.0,1425423212.0,2375.0
5,United Kingdom,3070670000000.0,68179315.0,45038.0
6,France,2782910000000.0,66277409.0,41989.0
7,Russia,2240420000000.0,145579899.0,15390.0
8,Canada,2139840000000.0,38821259.0,55120.0
9,Italy,2010430000000.0,59619115.0,33721.0
10,Brazil,1920100000000.0,210306415.0,9130.0
11,Australia,1675420000000.0,26200984.0,63945.0
12,South Korea,1665250000000.0,51782512.0,32159.0
13,Mexico,1414190000000.0,128613117.0,10996.0
14,Spain,1397510000000.0,47828382.0,29219.0
15,Indonesia,1319100000000.0,278830529.0,4731.0
16,Saudi Arabia,1108150000000.0,32175352.0,34441.0
17,Netherlands,991115000000.0,17904421.0,55356.0
18,Turkey,905988000000.0,87058473.0,10407.0
19,Switzerland,807706000000.0,8792182.0,91866.0
20,Poland,688177000000.0,38385739.0,17928.0
21,Argentina,632770000000.0,45407904.0,13935.0
22,Sweden,585939000000.0,10487338.0,55871.0
23,Norway,579267000000.0,5456801.0,106155.0
24,Belgium,578604000000.0,11641820.0,49700.0
25,Ireland,529245000000.0,5110016.0,103570.0
26,Israel,522033000000.0,9103151.0,57346.0
27,United Arab Emirates,507535000000.0,10242086.0,49554.0
28,Thailand,495341000000.0,71735329.0,6905.0
29,Nigeria,477386000000.0,223150896.0,2139.0
30,Egypt,476748000000.0,112618250.0,4233.0
31,Austria,471400000000.0,9064677.0,52004.0
32,Singapore,466789000000.0,5649885.0,82619.0
33,Bangladesh,460201000000.0,169384897.0,2717.0
34,Vietnam,408802000000.0,99680655.0,4101.0
35,Malaysia,406306000000.0,34695493.0,11711.0
36,South Africa,405870000000.0,62378410.0,6507.0
37,Philippines,404284000000.0,113964338.0,3547.0
38,Denmark,395404000000.0,5902904.0,66985.0
39,Iran,388544000000.0,89524246.0,4340.0
40,Pakistan,376533000000.0,243700667.0,1545.0
41,Hong Kong,359839000000.0,7465915.0,48198.0
42,Colombia,343939000000.0,51737944.0,6648.0
43,Romania,301262000000.0,19166772.0,15718.0
44,Chile,301025000000.0,19553036.0,15395.0
45,Czechia,290924000000.0,10673213.0,27257.0
46,Finland,280826000000.0,5569299.0,50424.0
47,Iraq,264182000000.0,44070551.0,5995.0
48,Portugal,251945000000.0,10417073.0,24186.0
49,New Zealand,247234000000.0,5131734.0,48177.0
50,Peru,242632000000.0,33475438.0,7248.0
51,Qatar,237296000000.0,2892455.0,82040.0
52,Kazakhstan,220623000000.0,20034609.0,11012.0
53,Greece,219066000000.0,10412480.0,21039.0
54,Algeria,191913000000.0,45477389.0,4220.0
55,Kuwait,184558000000.0,4589511.0,40213.0
56,Hungary,178789000000.0,9684306.0,18462.0
57,Ukraine,160503000000.0,41048766.0,3910.0
58,Morocco,134182000000.0,37329064.0,3595.0
59,Ethiopia,126783000000.0,125384287.0,1011.0
60,Slovakia,115469000000.0,5473197.0,21097.0
61,Ecuador,115049000000.0,17823897.0,6455.0
62,Oman,114667000000.0,4730226.0,24241.0
63,Dominican Republic,113642000000.0,11230734.0,10119.0
64,Kenya,113420000000.0,54252461.0,2091.0
65,Angola,106714000000.0,35635029.0,2995.0
66,Guatemala,95003333381.0,17847877.0,5323.0
67,Bulgaria,89040398406.0,6825864.0,13045.0
68,Luxembourg,82274812251.0,653313.0,125935.0
69,Uzbekistan,80391853885.0,34938955.0,2301.0
70,Azerbaijan,78721058824.0,10295304.0,7646.0
71,Panama,76522511781.0,4400773.0,17388.0
72,Tanzania,75709289056.0,64711821.0,1170.0
73,Sri Lanka,74403578363.0,22834965.0,3258.0
74,Ghana,72838798788.0,33149152.0,2197.0
75,Belarus,72793457588.0,9173237.0,7935.0
76,Uruguay,71177146197.0,3390913.0,20991.0
77,Croatia,70964606465.0,3907027.0,18163.0
78,Lithuania,70334299008.0,2816919.0,24969.0
79,Côte d'Ivoire,70018715017.0,30395002.0,2304.0
80,Costa Rica,68380838316.0,5081765.0,13456.0
81,Serbia,63501748652.0,6791213.0,9351.0
82,Slovenia,62117768015.0,2115228.0,29367.0
83,Myanmar,59364362541.0,53756787.0,1104.0
84,DR Congo,58065953573.0,102396968.0,567.0
85,Sudan,51662241775.0,49383346.0,1046.0
86,Jordan,47451499859.0,11256263.0,4216.0
87,Tunisia,46664948952.0,12119334.0,3850.0
88,Libya,45752336036.0,7223805.0,6334.0
89,Uganda,45559202049.0,47312719.0,963.0
90,Bahrain,44390820479.0,1533459.0,28948.0
91,Cameroon,44341646509.0,27632771.0,1605.0
92,Bolivia,43068885673.0,12077154.0,3566.0
93,Paraguay,41722295362.0,6760464.0,6172.0
94,Latvia,41153912663.0,1881063.0,21878.0
95,Nepal,40828247302.0,29715436.0,1374.0
96,Estonia,38100812959.0,1350091.0,28221.0
97,El Salvador,32488720000.0,6280319.0,5173.0
98,Honduras,31717700115.0,10463872.0,3031.0
99,Papua New Guinea,30633444295.0,10203169.0,3002.0
100,Cambodia,29956769529.0,17201724.0,1741.0
101,Zambia,29784454056.0,20152938.0,1478.0
102,Cyprus,28439052741.0,1331370.0,21361.0
103,Trinidad and Tobago,27899082337.0,1495921.0,18650.0
104,Iceland,27841648044.0,380356.0,73199.0
105,Senegal,27684430244.0,17651103.0,1568.0
106,Georgia,24605375420.0,3794784.0,6484.0
107,Bosnia and Herzegovina,24527507288.0,3204802.0,7653.0
108,Macao,21979475561.0,704356.0,31205.0
109,Guinea,21227749389.0,14055137.0,1510.0
110,Gabon,21071739228.0,2430747.0,8669.0
111,Zimbabwe,20678055598.0,16069056.0,1287.0
112,Botswana,20352322157.0,2439892.0,8341.0
113,Haiti,20253551885.0,11503606.0,1761.0
114,Armenia,19502783988.0,2880874.0,6770.0
115,State of Palestine,19111900000.0,5305270.0,3602.0
116,Burkina Faso,18884619613.0,22509038.0,839.0
117,Albania,18882095518.0,2827608.0,6678.0
118,Mali,18827176532.0,23072640.0,816.0
119,Mozambique,17851491428.0,32656246.0,547.0
120,Malta,17765270015.0,528192.0,33634.0
121,Benin,17401746309.0,13759501.0,1265.0
122,Jamaica,17097760745.0,2839144.0,6022.0
123,Mongolia,16810883361.0,3386015.0,4965.0
124,Brunei ,16681531646.0,455370.0,36633.0
125,Laos,15724383783.0,7559007.0,2080.0
126,Nicaragua,15671583878.0,6730654.0,2328.0
127,Guyana,15357537068.0,821637.0,18691.0
128,Madagascar,14954967604.0,30437261.0,491.0
129,Congo,14615532210.0,6035104.0,2422.0
130,Moldova,14420947884.0,3039985.0,4744.0
131,Niger,13969605583.0,25311973.0,552.0
132,North Macedonia,13563132057.0,1840233.0,7370.0
133,Rwanda,13312796765.0,13651030.0,975.0
134,Malawi,13164667627.0,20568728.0,640.0
135,Mauritius,12898307089.0,1276130.0,10107.0
136,Bahamas,12897400000.0,397538.0,32443.0
137,Chad,12704149842.0,18455316.0,688.0
138,Namibia,12607436976.0,2889662.0,4363.0
139,Equatorial Guinea,11813908448.0,1803545.0,6550.0
140,Kyrgyzstan,10930644915.0,6955788.0,1571.0
141,Tajikistan,10492123388.0,10182222.0,1030.0
142,Mauritania,10375460680.0,4875637.0,2128.0
143,Togo,8126439481.0,9089738.0,894.0
144,Maldives,6189865408.0,524106.0,11810.0
145,Montenegro,6095978868.0,614648.0,9918.0
146,Barbados,5637914515.0,282318.0,19970.0
147,Fiji,4943248200.0,919422.0,5376.0
148,Eswatini,4854167638.0,1218917.0,3982.0
149,Liberia,4001047150.0,5373294.0,745.0
150,Sierra Leone,3970343852.0,8276807.0,480.0
151,Suriname,3620655116.0,623164.0,5810.0
152,Andorra,3352032737.0,79705.0,42055.0
153,Timor-Leste,3163324631.0,1369295.0,2310.0
154,Burundi,3073414678.0,13321097.0,231.0
155,Belize,2824081836.0,402733.0,7012.0
156,Lesotho,2553459763.0,2286110.0,1117.0
157,Central African Republic,2382618615.0,5098039.0,467.0
158,Cabo Verde,2314816792.0,519741.0,4454.0
159,Gambia,2273060863.0,2636470.0,862.0
160,Saint Lucia,2065027556.0,178781.0,11551.0
161,Antigua and Barbuda,1757603704.0,92840.0,18932.0
162,Guinea-Bissau,1633559092.0,2105529.0,776.0
163,Solomon Islands,1595710784.0,781066.0,2043.0
164,Seychelles,1588406479.0,125522.0,12654.0
165,Grenada,1256413185.0,116913.0,10747.0
166,Comoros,1242519407.0,834188.0,1489.0
167,Vanuatu,983582865.0,313046.0,3142.0
168,Saint Kitts & Nevis,961563259.0,46709.0,20586.0
169,St. Vincent & Grenadines,948558503.0,102046.0,9295.0
170,Samoa,832421565.0,215261.0,3867.0
171,Dominica,612048148.0,66826.0,9159.0
172,Sao Tome & Principe,546680342.0,226305.0,2416.0
173,Micronesia,427094119.0,523477.0,816.0
174,Marshall Islands,279667900.0,40077.0,6978.0
